Datum Zeit; Annaberg-Buchholz PM10; Bautzen PM10; Borna PM10; Brockau PM10
; µg/m³; µg/m³; µg/m³; µg/m³
06-06-16; 18; 16; 12; 18
05-06-16; 22; 21; 17; 18
04-06-16; 20; 19; 16; 19
03-06-16; 19; 14; 13; 11
02-06-16; 15; 12; 10; 11
01-06-16; 22; 17; 13; 23
31-05-16; 18; 16; 10; 10
30-05-16; 20; 17; 13; 15
29-05-16; 19; 19; 16; 19
28-05-16; 21; 18; 14; 15
27-05-16; 26; 22; 17; 22
26-05-16; 31; 25; 20; 25
25-05-16; 29; 26; 21; 18
24-05-16; 21; 17; 14; 15
23-05-16; 18; 19; 12; 14
22-05-16; 16; 18; 13; 17
21-05-16; 22; 19; 14; 14
20-05-16; n. def.; 20; 13; 14
19-05-16; n. def.; 23; 14; 18
18-05-16; n. def.; 23; 16; 18
17-05-16; n. def.; 17; 11; 13
16-05-16; 10; 8; 6; 6
15-05-16; 10; 9; 6; 7
14-05-16; 19; 18; 14; 16
13-05-16; 25; 22; 15; 18
12-05-16; 27; 25; 18; 21
11-05-16; 23; 21; 19; 21
10-05-16; 19; 17; 14; 16
09-05-16; 20; 17; 14; 14
08-05-16; 16; 16; 13; 12
07-05-16; 20; 19; 16; 17
06-05-16; 20; 20; 16; 18
05-05-16; 21; 17; 14; 16
04-05-16; 17; 16; 11; 13
03-05-16; 28; 21; 16; 16
02-05-16; 28; 22; 19; 23
01-05-16; 52; 54; 42; 37
30-04-16; 29; 32; 22; 20
29-04-16; 19; 16; 12; 14
28-04-16; 14; 13; 7; 9
27-04-16; 14; 12; 6; 9
26-04-16; 11; 9; 5; 6
25-04-16; 15; 13; 7; 9
24-04-16; 11; 10; 6; 7
23-04-16; 19; 18; 15; 17
22-04-16; 24; 23; 16; 17
21-04-16; 37; 29; 26; 27
20-04-16; 23; 21; 15; 18
19-04-16; 25; 23; 17; 18
18-04-16; 23; 21; 15; 14
17-04-16; 14; 14; 11; 10
16-04-16; 14; 14; 8; 8
15-04-16; 22; 20; 14; 16
14-04-16; 31; 29; 23; 28
13-04-16; 24; 18; 14; 12
12-04-16; 40; 36; 31; 27
11-04-16; 34; 23; 23; 25
10-04-16; 16; 13; 11; 14
09-04-16; 26; 25; 19; 23
08-04-16; 24; 21; 14; 15
07-04-16; 18; 16; 9; 9
06-04-16; 22; 17; 11; 11
05-04-16; 55; 43; 40; 38
04-04-16; 44; 49; 33; 37
03-04-16; 23; 23; 19; 23
02-04-16; 20; 17; 14; 17
01-04-16; 19; 17; 11; 12
31-03-16; 22; 15; 14; 14
30-03-16; 15; 14; 7; 6
29-03-16; 13; 12; 5; 6
28-03-16; 10; 10; 7; 5
27-03-16; 18; 20; 15; 11
26-03-16; 27; 23; 20; 16
25-03-16; 29; 28; 25; 18
24-03-16; 37; 31; 27; 27
23-03-16; 26; 22; 17; 20
22-03-16; 21; 17; 13; 13
21-03-16; 18; 16; 10; 9
20-03-16; 17; 15; 12; 10
19-03-16; 27; 26; 21; 16
18-03-16; 44; 38; 33; 41
17-03-16; 47; 41; 34; 39
16-03-16; 38; 31; 27; 28
15-03-16; 28; 20; 18; 18
14-03-16; 37; 29; 26; 29
13-03-16; 29; 25; 25; 23
12-03-16; 23; 17; 17; 17
11-03-16; 43; 29; 29; 35
10-03-16; 64; 51; 44; 50
09-03-16; 38; 35; 31; 30
08-03-16; 52; 43; 35; 31
07-03-16; 28; 21; 16; 11
06-03-16; 17; 19; 13; 12
05-03-16; 35; 32; 30; 27
04-03-16; 26; 22; 17; 17
03-03-16; 22; 24; 12; 11
02-03-16; 27; 22; 19; 10
01-03-16; 36; 31; 28; 24
29-02-16; 39; 32; 31; 33
28-02-16; 56; 49; 48; 57
27-02-16; 30; 26; 24; 33
26-02-16; 33; 28; 21; 24
25-02-16; 28; 24; 16; 17
24-02-16; 19; 15; 9; 9
23-02-16; 16; 12; 7; 7
22-02-16; 8; 7; 3; 4
21-02-16; 4; 6; 2; 2
20-02-16; 16; 14; 11; 11
19-02-16; 44; 36; 30; 34
18-02-16; 35; 28; 21; 24
17-02-16; 32; 26; 24; 18
16-02-16; 24; 15; 13; 13
15-02-16; 23; 18; 12; 12
14-02-16; 16; 15; 11; 9
13-02-16; 26; 25; 20; 20
12-02-16; 31; 23; 19; 15
11-02-16; 13; 11; 7; 7
10-02-16; 13; 12; 5; 6
09-02-16; 10; 9; 6; 5
08-02-16; 9; 8; 5; 6
07-02-16; 22; 21; 21; 15
06-02-16; 16; 15; 14; 7
05-02-16; 18; 13; 9; 9
04-02-16; 15; 13; 7; 7
03-02-16; 18; 16; 9; 9
02-02-16; 13; 10; 4; 6
01-02-16; 13; 11; 5; 5
31-01-16; 11; 11; 6; 6
30-01-16; 11; 11; 5; 5
29-01-16; 23; 22; 11; 12
28-01-16; 24; 24; 13; 11
27-01-16; 18; 19; 7; 10
26-01-16; 26; 25; 20; 12
25-01-16; 25; 22; 17; 7
24-01-16; 30; 28; 23; 12
23-01-16; 42; 40; 35; 18
22-01-16; 32; 30; 27; 23
21-01-16; 26; 22; 18; 21
20-01-16; 38; 34; 29; 26
19-01-16; 37; 32; 30; 31
18-01-16; 36; 28; 24; 25
17-01-16; 27; 25; 22; 18
16-01-16; 30; 30; 24; 24
15-01-16; 23; 19; 17; 13
14-01-16; 25; 18; 11; 13
13-01-16; 9; 7; 4; 4
12-01-16; 9; 7; 5; 5
11-01-16; 22; 17; 16; 10
10-01-16; 31; 30; 28; 10
09-01-16; 26; 24; 23; 15
08-01-16; 19; 19; 9; 9
07-01-16; 95; 89; 85; 75
06-01-16; 122; 119; 110; 108
05-01-16; 60; 52; 50; 55
04-01-16; 39; 36; 34; 38
03-01-16; 48; 50; 42; 39
02-01-16; 41; 43; 38; 17
01-01-16; 45; 50; 38; 30

Datum Zeit; Glauchau PM10; Goerlitz PM10; Klingenthal PM10; Leipzig-Luetzner Straße PM10
; µg/m³; µg/m³; µg/m³; µg/m³
06-08-16; 13; n. def.; 10; n. def.
05-08-16; 13; n. def.; 8; n. def.
04-08-16; 16; n. def.; 10; n. def.
03-08-16; 9; n. def.; 6; n. def.
02-08-16; 11; n. def.; 7; n. def.
01-08-16; 12; n. def.; 7; n. def.
31-07-16; 13; n. def.; 9; n. def.
30-07-16; 12; n. def.; 7; n. def.
29-07-16; 12; n. def.; 9; n. def.
28-07-16; 18; n. def.; 11; n. def.
27-07-16; 19; n. def.; 12; n. def.
26-07-16; 22; n. def.; 18; n. def.
25-07-16; 26; n. def.; 16; n. def.
24-07-16; 23; n. def.; 15; n. def.
23-07-16; 26; n. def.; 16; n. def.
22-07-16; 20; n. def.; 12; n. def.
21-07-16; 16; n. def.; 11; n. def.
20-07-16; 13; n. def.; 9; n. def.
19-07-16; 14; 16; 9; n. def.
18-07-16; 16; 18; 8; 17
17-07-16; 14; 18; 9; 12
16-07-16; 15; 15; 9; 17
15-07-16; 10; 11; 6; 12
14-07-16; 13; 11; 7; 15
13-07-16; 15; 21; 8; 18
12-07-16; 13; 21; 9; 24
11-07-16; 16; 22; 11; 22
10-07-16; 14; 17; 9; 17
